Susceptible,Infected,Exposed,Time
0,0,0,0
1,1,0,0.3617554
2,1,0,0.8576355
2,2,0,1.008789
3,2,0,1.354614
4,4,0,1.861633
4,4,0,1.995483
5,4,0,2.35498
5,6,0,2.855133
5,6,0,3.00061
6,7,0,3.360748
6,7,0,3.855133
7,7,0,4.006256
7,8,0,4.365509
8,8,0,4.855133
8,9,0,5.000488
9,9,0,5.359497
9,10,0,5.86261
9,10,0,5.999542
9,11,0,6.36264
10,13,0,6.86087
10,13,0,7.007141
11,13,0,7.357086
11,17,0,7.863556
11,17,0,8.004333
11,18,0,8.356842
12,20,0,8.856598
12,20,0,9.00647
13,21,0,9.359222
13,22,0,9.86264
13,22,0,10.00403
13,24,0,10.36578
13,24,0,10.86301
13,25,0,11.00586
14,25,0,11.36362
14,25,1,11.85541
15,25,1,12.00351
16,25,1,12.36499
16,27,1,12.8699
16,27,1,12.99545
16,27,1,13.36743
17,28,1,13.86734
17,28,1,14.00467
17,29,1,14.36374
18,30,1,14.85645
20,30,1,14.99918
19,30,2,15.3588
20,30,2,15.86063
21,30,2,15.99597
22,30,2,16.36227
23,31,2,16.8587
23,31,2,17.00443
24,32,2,17.36697
24,33,2,17.86569
24,34,2,18.01013
25,34,2,18.36658
25,35,2,18.85782
25,35,2,18.99686
25,36,2,19.36423
26,37,2,19.86295
27,37,2,20.00217
26,38,3,20.36676
27,38,3,20.86594
29,38,3,21.01019
29,38,3,21.3652
30,39,3,21.86093
30,39,3,22.00085
30,39,3,22.37302
32,39,3,22.85953
31,39,4,23.00946
28,40,7,23.37448
30,40,7,23.8688
30,40,7,24.00958
31,40,7,24.37256
32,40,7,24.86206
32,40,8,25.00018
32,40,9,25.36761
31,40,10,25.8671
32,40,10,26.00455
33,40,10,26.36212
33,40,12,26.86551
33,40,12,27.00479
34,40,12,27.35553
35,40,12,27.87222
36,40,12,28.01218
37,40,13,28.37149
39,40,13,28.87448
39,40,13,29.00925
40,40,13,29.36758
40,40,14,29.86984
40,40,14,30.00415
43,40,14,30.37152
43,40,14,30.87314
44,40,14,31.01279
44,40,15,31.36545
44,40,16,31.87448
44,40,16,32.01282
47,40,16,32.37311
46,40,18,32.87213
46,40,18,32.99966
47,40,18,33.36804
49,40,18,33.8595
49,40,19,34.01147
49,40,19,34.36572
53,40,19,34.85751
53,40,19,35.01447
56,40,19,35.37411
57,40,19,35.85666
57,40,19,36.01288
58,40,19,36.35724
59,40,20,36.86255
59,40,20,37.00977
59,40,21,37.37448
60,40,21,37.87341
63,40,21,38.01447
63,39,21,38.36243
64,39,22,38.86618
65,39,22,39.01447
66,40,22,39.37128
67,40,22,39.87128
67,40,22,40.00803
69,40,22,40.36447
70,39,22,40.86569
70,39,22,41.01447
70,40,22,41.37448
70,40,22,41.86743
71,40,22,42.01447
71,40,22,42.37448
72,40,22,42.87271
72,40,22,42.99622
72,39,22,43.37448
73,39,22,43.87448
73,39,22,44.01447
72,40,23,44.37091
71,40,24,44.86731
71,40,24,44.99478
72,40,24,45.36911
72,40,24,45.85629
73,40,24,46.01447
73,40,24,46.37009
74,40,24,46.87152
74,40,24,47.01157
