Susceptible,Infected,Exposed,Time
0,0,0,0
0,4,0,0.9971237
1,8,0,1.997589
1,10,0,3.005661
1,13,0,3.998064
3,14,0,5.008093
4,16,0,6.013231
5,18,0,7.009123
5,20,0,8.014048
6,22,0,9.001242
6,26,0,10.00843
7,29,0,11.01405
8,31,0,12.00558
9,33,0,13.01038
9,35,0,14.01405
11,38,0,15.00497
12,40,0,16.00871
13,45,0,17.01405
14,46,0,17.99481
14,49,0,19.00545
17,50,0,19.99973
19,50,0,21.00513
23,50,0,21.99654
25,50,0,23.00992
28,50,0,24.00509
32,50,0,25.01031
36,50,0,26.00036
39,50,0,27.00278
40,50,1,27.99542
42,50,1,29.00421
45,50,2,29.99987
46,50,3,31.00903
50,50,3,32.01037
54,50,3,33.00231
57,50,3,34.01141
58,50,4,34.99427
62,50,4,36.01405
67,50,4,37.01405
69,50,4,38.00819
71,50,4,39.00897
74,49,4,39.99416
74,50,5,41.01405
76,50,5,42.00901
78,49,5,43.00295
79,49,5,44.01153
78,50,6,45.00362
80,50,6,46.00681
81,50,7,47.01405
81,49,8,48.00965
81,49,9,48.99445
81,49,10,49.99569
82,49,10,51.01405
81,50,10,52.00502
81,50,11,53.00289
82,50,11,53.99483
84,50,11,55.01405
82,50,12,56.01405
82,49,13,57.0074
82,50,13,58.00444
83,49,13,59.00198
84,50,13,59.99751
85,50,13,61.01405
86,50,13,62.01252
85,50,13,63.01089
83,50,14,64.01405
83,50,14,65.01405
83,50,14,66.01405
82,50,14,67.01042
82,49,14,68.01263
81,49,14,69.01137
81,49,14,70.0124
80,49,14,70.99485
80,48,14,72.00892
80,48,14,73.00147
79,47,15,73.99506
79,47,15,74.99976
78,46,15,76.01405
78,46,15,77.00517
76,46,16,78.01405
76,45,16,79.01077
76,45,16,79.99516
76,44,16,81.00135
76,44,16,82.00898
75,44,17,83.01125
72,43,18,84.00257
72,42,18,85.0023
71,42,18,86.00056
69,42,18,87.01188
68,42,18,87.99463
66,41,18,89.01384
65,41,18,89.99754
65,41,18,91.00163
64,41,18,92.01155
61,41,18,93.00971
60,41,19,93.99728
59,41,19,94.99487
59,41,19,96.00526
59,41,19,97.0059
57,41,20,97.99993
56,41,20,99.00381
55,41,21,99.99538
55,41,21,101.0114
55,40,21,102.0065
54,40,21,103.014
54,40,21,104.014
53,40,21,104.9988
53,39,21,106.0044
53,38,21,107.0041
53,36,21,108.0133
53,36,21,108.9949
52,36,21,110.0071
52,36,21,111.014
52,35,21,111.9963
51,35,21,113.012
50,35,21,113.9944
49,35,21,115.0086
49,35,21,115.9997
49,35,21,117.0039
48,35,21,117.9993
47,35,21,119.0043
45,35,21,119.9942
45,33,21,121.014
43,33,22,122.0005
39,32,22,123.0088
36,32,22,124.0016
32,31,22,125.0079
31,27,22,126.0115
28,25,23,127.0129
28,21,23,128.0044
25,18,23,129.0077
18,16,23,129.9975
17,15,23,131.0121
15,14,23,132.0032
14,13,23,133.0088
14,11,23,134.0042
11,11,23,134.9969
10,11,23,136.006
9,10,23,136.9964
9,9,23,137.9981
9,9,23,138.9945
7,8,23,140.014
7,7,23,140.999
7,6,23,142.0004
6,5,23,143.0082
6,5,23,143.9975
5,4,23,145.0026
5,3,23,146.0074
5,2,23,147.0045
4,2,23,148.0003
4,2,23,148.9948
4,2,23,150.0067
2,2,23,151.0064
1,1,23,151.9988
1,1,23,152.9945
1,1,23,153.9985
1,1,23,155.0022
1,1,23,155.9998
1,1,23,157.0062
0,1,23,157.9945
0,1,23,158.996
0,1,23,160.0042
0,1,23,160.9949
0,1,23,162.0044
0,1,23,163.0029
0,1,23,164.0007
