Susceptible,Infected,Exposed,Time
0,0,0,0
8,0,0,0.9928169
10,1,0,2.005577
14,1,0,2.987185
18,2,0,4.006945
25,2,0,4.990866
31,2,0,5.995173
36,2,0,6.994869
39,5,0,7.99774
49,9,0,9.006945
54,10,1,9.993179
63,10,1,11.00694
68,11,1,12.00694
73,12,1,13.00694
77,14,1,14.00694
84,15,1,15.00591
91,15,1,15.98696
95,16,1,16.98924
99,16,2,18.00694
107,16,3,19.00694
115,16,4,19.98831
118,16,4,21.00135
124,16,7,22.00694
131,17,8,22.98938
132,17,11,24.00686
138,18,11,24.9881
141,19,11,25.98746
146,19,12,26.99316
150,19,12,28.00694
155,19,13,29.00694
155,20,14,30.00694
155,21,14,31.00231
156,21,14,32.00694
152,23,18,33.00694
152,23,19,34.00694
151,23,21,34.99056
152,23,21,36.0046
152,24,22,37.00694
149,24,26,38.00694
147,24,30,39.00211
148,24,30,40.00694
149,24,30,40.99414
149,25,30,41.99331
149,25,31,43.00297
151,25,31,44.00694
150,25,33,44.9873
149,25,35,46.0049
151,25,35,46.99452
152,25,35,48.00694
153,25,35,48.99389
152,25,36,50.00224
148,25,39,50.99018
146,25,41,52.00694
147,26,41,52.99622
147,26,42,53.98953
145,26,44,55.00145
144,26,46,55.99143
146,26,46,57.00694
145,26,48,57.99192
143,26,50,58.99976
143,26,51,59.9957
142,26,53,60.9956
142,26,53,62.00067
141,26,54,62.99632
140,27,55,63.99653
139,28,56,64.99914
141,28,56,65.99963
138,28,59,67.00694
134,28,60,68.00376
134,28,61,68.99745
135,28,61,69.98869
135,29,61,70.99829
134,29,61,71.99783
135,29,61,72.99074
134,30,62,73.9886
135,30,62,74.98808
136,30,62,76.00436
135,31,63,76.99667
136,30,63,78.00072
137,30,63,78.99876
137,32,63,80.00243
138,31,63,80.99258
137,30,64,81.99509
138,30,64,82.99404
138,30,64,83.99321
136,31,64,84.99
135,31,66,85.98852
136,31,67,86.99694
137,31,67,87.98821
137,32,67,88.99869
136,33,68,90.00168
135,34,69,90.99865
137,34,69,92.0004
135,34,69,92.99295
132,34,71,93.99945
129,35,73,94.99135
130,34,74,95.99897
130,33,74,96.99964
132,33,74,97.98917
132,33,74,98.99281
133,33,74,99.99856
132,33,76,100.9922
134,33,76,102.0008
134,33,76,102.9946
136,33,76,104.0004
137,33,76,104.9957
136,34,77,105.9952
134,33,79,107.0039
134,33,81,107.9904
135,33,81,108.9898
136,33,81,109.9962
136,32,82,110.9973
136,31,83,111.9977
136,31,84,112.9925
135,32,84,113.9922
135,32,85,114.9887
135,31,85,115.9907
135,31,85,116.9976
134,31,85,117.9985
132,31,85,118.9897
129,31,85,119.9898
129,30,85,121.0024
127,28,85,121.9932
127,28,85,122.9958
127,28,85,123.9898
126,28,85,124.9941
125,27,85,125.9903
124,27,85,126.9884
124,27,85,127.9917
123,27,85,128.9982
123,27,85,130.0034
122,27,86,130.9928
122,26,86,131.9942
122,26,86,133.0019
122,26,86,133.9984
122,26,86,134.9915
121,26,87,135.9999
119,26,88,136.9946
119,26,88,137.996
117,26,88,138.99
116,26,89,139.9951
115,26,89,140.9881
115,26,89,141.9942
115,25,89,142.9877
114,23,89,143.9988
114,23,89,144.9878
113,22,89,146.0004
113,22,89,146.9984
111,20,90,147.9873
110,20,90,148.9895
108,19,90,149.995
108,19,90,150.9904
106,19,90,151.9928
106,18,90,152.9911
106,18,90,153.9877
106,18,90,154.9979
104,18,90,155.9892
104,17,90,156.9928
102,17,91,157.9874
101,17,92,158.9947
101,16,92,159.9909
100,16,92,160.9962
100,16,92,162.0002
100,16,92,162.9879
100,16,92,163.9987
100,16,92,164.987
100,16,92,165.9904
100,16,92,166.9928
100,16,92,167.9971
99,16,92,168.996
98,16,92,169.9966
95,16,92,170.9891
92,16,92,172.0021
92,16,92,172.9906
91,16,92,173.9895
91,16,92,174.9904
90,16,92,175.997
90,16,92,176.9985
90,15,92,177.9885
90,15,92,178.9913
90,15,92,179.9927
90,15,92,180.9901
87,15,94,182.0027
84,15,94,182.9931
78,15,95,183.9953
73,13,96,184.9949
69,12,96,185.9906
61,12,98,186.995
51,10,99,187.9949
43,10,100,188.9959
37,8,100,189.9973
27,6,102,190.9945
25,5,102,191.9996
21,2,102,192.9948
19,1,102,193.992
13,1,102,194.9997
11,1,102,195.9934
9,1,102,196.9922
8,1,102,197.9873
8,1,102,198.9949
8,1,102,199.9885
8,1,102,200.9906
7,1,102,201.9906
5,1,102,202.9896
4,1,102,203.9879
2,1,102,204.9899
2,1,102,205.991
2,1,102,206.9931
2,1,102,207.9933
2,1,102,208.9984
2,1,102,209.9936
2,1,102,210.9929
1,1,102,211.9885
1,1,102,212.9896
1,1,102,213.9909
1,0,102,214.9916
0,0,102,215.9938
0,0,102,216.9969
0,0,102,217.994
0,0,102,218.9968
0,0,102,219.9967
