Susceptible,Infected,Exposed,Time
0,0,0,0
1,1,0,0.1650085
1,3,0,1.002716
2,3,0,1.159195
4,4,0,2.00412
4,6,0,2.156631
5,8,0,3.000916
5,8,0,3.171036
6,9,0,4.005112
6,10,0,4.166397
7,11,0,5.014053
7,12,0,5.168335
7,16,0,5.997803
7,16,0,6.167267
7,19,0,6.997345
7,19,0,7.168777
8,21,0,7.999863
8,22,0,8.157776
8,23,0,8.998077
9,23,0,9.166092
10,25,0,10.00085
10,25,0,10.16499
10,27,0,10.99876
10,28,0,11.16644
10,31,0,12.00645
11,31,0,12.17041
11,34,0,13.01331
11,34,0,13.15805
13,35,0,14.00134
13,37,0,14.17192
13,39,0,15.0045
13,40,0,15.17488
14,41,0,16.00786
14,41,0,16.16434
14,45,0,16.99657
14,45,0,17.16664
15,47,0,18.00235
16,47,0,18.17131
16,49,0,19.00082
16,50,0,19.15883
19,50,1,20.01036
19,50,1,20.15886
21,50,1,21.00839
21,50,1,21.16095
24,50,1,22.00705
24,50,1,22.15961
26,50,2,23.01431
26,50,2,23.16902
29,50,2,24.00346
30,50,2,24.16969
34,50,2,25.00186
34,50,2,25.17616
36,50,2,26.01262
37,50,2,26.17041
41,50,2,27.00792
42,50,2,27.16997
44,50,3,28.01038
45,49,3,28.16737
48,50,3,29.00343
49,50,3,29.16095
48,50,6,30.00221
48,50,6,30.17635
51,50,6,31.01212
51,50,6,31.16402
56,50,6,32.01128
55,50,7,32.17635
57,50,7,32.99753
57,50,7,33.17635
59,50,7,34.00415
59,50,7,34.17635
61,50,7,35.00746
62,50,7,35.16283
64,50,7,36.00069
64,49,7,36.15636
65,50,7,37.01146
66,50,7,37.17567
68,49,7,38.00095
68,50,7,38.17635
68,50,8,39.01228
68,50,8,39.16643
69,50,8,40.01556
69,50,8,40.17612
69,49,9,40.99799
69,49,9,41.16405
69,49,10,42.01634
69,49,10,42.15826
69,50,11,43.01634
69,50,11,43.15895
69,50,12,44.01581
69,50,12,44.17119
69,50,13,44.99686
69,50,13,45.17635
70,50,13,46.00609
69,50,14,46.17635
68,50,16,46.99712
69,50,16,47.15837
69,50,16,48.0038
70,50,16,48.16708
71,50,16,49.01196
71,50,16,49.17635
71,50,17,50.0143
70,50,18,50.1573
70,50,18,50.99643
71,50,18,51.17143
71,50,18,52.01309
71,50,18,52.17172
72,50,18,53.01059
72,50,18,53.17635
73,50,18,54.00879
73,50,18,54.17346
74,50,19,54.99854
74,50,19,55.17325
73,50,20,56.01375
72,49,21,56.17032
72,50,21,57.00481
72,50,21,57.17555
73,50,21,57.99817
73,49,21,58.16969
71,50,22,59.00655
70,50,22,59.15733
72,50,22,60.01381
72,50,22,60.16545
71,50,23,61.01634
71,50,23,61.17392
72,50,23,62.01431
72,50,23,62.16608
72,50,24,63.00296
72,50,24,63.17165
71,50,25,64.00807
71,49,25,64.16823
70,48,26,65.0106
68,48,27,65.17188
67,48,28,66.01491
67,48,28,66.16367
65,48,30,67.00119
64,48,31,67.1716
63,48,32,68.01634
62,48,33,68.16573
61,48,34,69.00964
60,48,35,69.16734
59,48,36,69.99895
58,48,37,70.16916
58,48,37,71.01634
57,48,37,71.17635
57,48,37,71.99901
57,48,37,72.17047
57,48,37,73.01634
57,48,37,73.16763
56,48,38,74.01074
55,48,39,74.17635
55,48,39,75.01634
55,48,39,75.16594
55,48,39,76.01093
55,48,39,76.1763
53,48,40,77.01299
52,48,41,77.15721
52,48,41,78.00529
52,47,41,78.17256
51,47,42,79.01498
51,47,42,79.16705
51,47,42,80.01636
51,47,42,80.16339
49,47,42,81.00333
49,47,42,81.17126
48,47,43,82.01205
47,47,44,82.16278
46,46,44,82.99872
46,46,44,83.17032
42,46,47,84.01367
42,46,47,84.1705
42,46,47,85.00058
42,46,47,85.17145
41,46,48,86.00662
41,46,48,86.1727
38,46,49,87.00339
38,46,49,87.16507
38,46,49,88.01361
38,46,49,88.17633
38,46,49,89.01636
37,46,49,89.15808
36,46,49,90.01636
36,45,49,90.17633
36,44,49,91.01636
36,44,49,91.1705
34,44,49,92.00366
34,44,49,92.17633
34,44,49,93.00433
34,44,49,93.15964
34,44,49,94.01636
34,43,49,94.17633
34,43,49,95.00165
34,43,49,95.16333
33,43,49,96.01559
33,43,49,96.16641
33,43,49,97.00925
33,43,49,97.16995
33,43,49,97.99643
33,43,49,98.16779
