Susceptible,Infected,Exposed,Time
0,0,0,0
0,0,0,0.02526855
2,2,0,0.08752441
4,2,0,0.4445801
4,2,0,0.4986572
4,2,0,0.5209961
5,2,0,0.7038574
6,3,0,0.8764648
7,4,0,0.9631348
7,4,0,1.003662
7,4,0,1.025146
7,4,0,1.078735
9,4,0,1.443359
9,4,0,1.505127
9,4,0,1.517212
12,5,0,1.702393
12,5,0,1.878906
12,5,0,1.956665
12,5,0,1.999756
12,5,0,2.024048
12,5,0,2.079712
13,6,0,2.44043
13,6,0,2.501343
13,6,0,2.524902
14,6,0,2.700684
14,6,0,2.881226
14,6,0,2.957397
14,6,0,3.00293
14,6,0,3.02417
14,6,0,3.079712
17,6,0,3.437622
17,6,0,3.504517
17,6,0,3.5177
17,6,0,3.697754
20,6,0,3.875732
21,6,0,3.960205
21,6,0,3.996216
21,6,0,4.017334
21,6,0,4.081177
21,6,0,4.4375
26,6,0,4.505249
26,6,0,4.517456
27,6,0,4.696289
28,7,0,4.880981
28,7,0,4.960449
28,7,0,5.00354
28,7,0,5.025879
28,7,0,5.084229
28,8,0,5.44165
28,8,0,5.497925
28,8,0,5.52063
30,8,0,5.702759
30,8,0,5.883301
30,8,0,5.96106
31,8,0,5.997925
31,8,0,6.020142
31,8,0,6.076782
34,8,0,6.437622
34,8,0,6.503906
34,8,0,6.516479
33,8,1,6.705688
34,8,1,6.882202
34,8,1,6.962158
34,8,1,6.998291
34,8,1,7.02124
34,8,1,7.079468
38,9,1,7.446777
38,9,1,7.497925
38,9,1,7.522705
39,9,1,7.698242
39,9,1,7.878784
39,9,1,7.959961
39,9,1,7.99646
39,9,1,8.019409
39,9,1,8.077026
42,9,1,8.439453
42,9,1,8.499146
42,9,1,8.522583
47,9,1,8.699097
47,9,1,8.878784
48,9,1,8.966064
48,9,1,9.001465
48,9,1,9.025513
48,9,1,9.076416
49,10,1,9.442627
53,10,1,9.500854
53,10,1,9.527954
55,10,1,9.696655
55,10,1,9.882202
55,10,1,9.957275
55,10,1,10.00781
55,10,1,10.02173
55,10,1,10.07947
55,11,1,10.43945
55,11,1,10.50806
