Susceptible,Infected,Exposed,Time
0,0,0,0
7,0,0,0.9821154
13,1,0,1.987834
16,2,0,2.996418
20,4,0,3.986003
24,4,0,4.985107
33,4,0,5.982665
37,4,0,7.001684
43,6,0,7.988026
51,6,0,8.996317
53,6,1,9.992282
56,7,1,10.99379
62,8,1,12.00173
65,11,2,12.99011
71,11,2,14.00173
77,11,2,15.00073
84,12,2,16.00109
86,12,3,16.99982
90,12,3,17.98452
95,13,3,18.98816
102,13,3,19.99216
105,14,3,21.00173
111,14,3,21.98406
118,14,4,23.00173
123,16,4,23.99286
125,17,4,25.00173
126,18,5,25.9821
129,18,6,26.99664
135,18,6,27.98399
139,18,6,29.00173
143,20,6,30.00173
148,21,6,30.98405
159,23,6,31.98364
160,25,7,32.99192
160,25,8,34.00173
160,26,8,34.99043
161,26,9,36.00173
161,27,9,37.00173
160,27,11,37.99437
158,27,13,39.00173
157,28,14,40.00173
157,28,15,41.00173
157,28,16,42.00173
156,28,17,42.98277
156,28,18,43.99527
157,28,18,45.00173
158,28,18,46.00173
156,28,20,46.98949
156,28,21,47.98953
157,28,21,49.00173
156,28,22,49.99659
156,29,22,51.00173
153,29,25,52.00027
153,29,25,53.00173
153,29,26,53.99875
154,28,26,55.00173
153,28,27,55.98508
152,28,29,57.00173
152,28,31,58.00173
153,28,31,59.00173
152,28,32,59.99331
153,29,32,61.00173
153,29,33,62.00173
153,28,34,63.00172
154,28,35,64.00172
155,28,35,65.00172
156,27,35,66.00172
155,27,36,67.00172
153,26,37,67.99065
153,27,38,69.00085
153,27,39,69.98843
150,28,40,70.99946
147,29,41,72.00172
147,28,42,73.00172
148,28,43,74.00172
147,28,44,74.99345
146,29,44,75.9921
146,29,45,77.00172
146,28,46,77.99284
147,29,46,79.00172
147,29,47,79.99368
145,29,48,81.00172
145,30,48,81.99596
144,30,49,83.00037
145,30,50,84.00172
146,31,50,84.99381
144,32,52,85.98193
145,31,52,87.00172
144,31,54,87.98568
144,31,54,89.00172
144,31,56,89.99629
144,31,57,90.9854
145,32,57,92.00172
145,32,57,93.00172
146,32,57,93.98954
147,32,57,95.00172
146,32,59,95.99556
143,32,61,97.00172
143,32,62,97.99622
144,32,62,98.99215
144,32,62,100.0017
144,32,63,100.9917
144,32,64,101.9931
144,32,64,102.9925
143,32,65,103.994
144,32,65,104.9937
145,31,66,106.0014
146,31,66,106.995
146,31,67,108.0017
148,31,67,109.0017
145,31,68,109.9845
142,31,71,111.0017
142,32,72,112.0017
143,31,72,113.0017
142,31,73,114.0017
142,32,73,115.0017
142,32,73,116.0017
140,32,73,116.9919
141,31,73,117.9841
140,31,73,119.0017
140,31,73,119.9831
136,30,74,121.0017
136,30,74,121.9961
135,30,74,123.0017
134,29,75,123.9839
132,29,75,124.9944
132,29,75,125.9884
130,29,76,127.0017
129,29,76,127.9822
129,29,76,129.0017
127,29,76,129.9854
125,29,77,131.0017
124,29,77,132.0017
124,29,77,132.9869
122,29,78,133.998
119,29,80,134.9951
116,28,81,136.0017
114,28,81,137.0017
114,28,81,138.0017
114,28,81,138.9845
111,28,81,140.0017
108,27,81,141.0017
106,27,83,142.0017
105,27,84,143.0017
105,27,84,144.0017
105,27,84,145.0017
104,27,84,145.9824
103,26,84,147.0017
103,26,84,148.0017
102,26,84,149.0017
102,25,84,150.0017
101,25,84,151.0017
100,25,84,152.0017
97,24,85,153.0017
94,24,85,154
94,24,85,155.0017
93,24,85,156.0017
93,23,85,157.0017
91,23,86,157.9949
90,23,86,159.0017
90,23,86,160.0017
90,23,86,160.9937
88,23,86,162.0017
86,22,86,162.9955
86,22,86,163.9946
84,22,86,164.9848
84,22,86,165.9869
84,22,86,167.0017
82,22,86,168.0017
82,22,86,169.0017
81,22,86,169.9906
80,22,86,171.0017
80,22,86,171.989
79,22,86,172.9892
79,22,86,173.9926
79,22,86,174.9909
78,22,86,176.0017
76,22,87,176.9862
76,22,87,178.0017
75,22,88,179.0017
74,22,88,179.9963
73,22,89,181.0017
69,21,92,181.9856
68,20,92,182.9871
64,20,92,184.0017
63,20,92,184.9955
59,19,92,185.9949
53,18,92,187.0017
43,16,92,187.9967
35,16,94,188.9883
29,16,95,189.9886
22,13,97,190.9924
19,9,98,192.0017
15,6,98,192.9971
12,3,98,193.984
10,3,98,194.9855
9,3,98,196.0017
6,2,98,196.984
6,2,98,197.9976
6,1,98,199.001
4,1,98,199.9911
3,1,98,200.9921
3,1,98,201.9902
2,1,98,202.9906
2,1,98,203.9853
2,1,98,204.9916
2,1,98,205.9892
2,1,98,206.992
2,1,98,207.9937
2,1,98,208.9992
2,1,98,209.987
2,1,98,210.9879
2,1,98,211.9843
2,1,98,212.9997
1,0,98,213.9894
0,0,98,214.9885
0,0,98,215.9889
