Susceptible,Infected,Exposed,Time
0,0,0,0
2,4,0,0.9278564
2,4,0,0.9845734
4,6,0,1.928818
4,6,0,1.990616
5,7,0,2.933411
6,7,0,2.985733
8,7,0,3.928802
8,7,0,3.989349
10,9,0,4.923706
10,9,0,4.984818
10,12,0,5.930298
10,12,0,5.985886
11,15,0,6.923416
11,15,0,6.993607
13,16,1,7.930527
13,17,1,7.983353
14,19,1,8.927811
14,19,1,8.996429
16,20,1,9.933304
16,20,1,9.995193
18,20,1,10.93591
18,20,1,10.99332
23,20,1,11.92738
23,20,1,11.99008
25,20,1,12.92793
25,20,1,12.98643
29,20,1,13.93427
31,20,1,13.98387
33,20,1,14.92636
32,20,2,14.98796
37,20,2,15.9416
38,20,2,15.99469
40,20,2,16.9259
40,20,2,16.99855
43,20,2,17.93391
43,20,2,18.00137
44,20,3,18.93442
45,20,3,19.0016
47,20,3,19.94101
47,20,3,19.98837
49,20,5,20.93974
49,20,5,20.99063
49,20,8,21.94128
49,20,8,21.99767
50,20,9,22.93488
50,20,9,22.98161
53,20,10,23.93657
53,20,10,23.98456
56,20,11,24.92336
57,20,11,25.0016
58,20,12,25.9416
58,20,12,25.99879
62,20,12,26.92699
62,20,12,26.98738
62,20,14,27.9416
62,20,14,27.98531
63,20,15,28.9416
63,20,15,29.0016
64,20,17,29.92688
62,20,19,29.9897
62,20,21,30.92444
62,20,21,30.98236
64,20,21,31.9416
64,20,21,31.98651
68,20,21,32.93359
68,20,21,33.0016
69,20,24,33.92659
69,20,24,34.0016
70,19,25,34.93259
70,19,25,35.0016
71,19,26,35.9416
71,19,26,35.98289
72,20,26,36.9416
74,20,26,36.98991
78,20,26,37.9416
78,20,26,38.0016
80,20,27,38.9416
80,20,27,39.0016
81,20,29,39.93973
82,20,29,40.0016
78,20,31,40.9416
78,20,31,40.98352
79,20,31,41.9416
80,20,31,42.0016
79,19,32,42.9416
79,20,32,42.98599
78,20,34,43.9416
78,20,34,43.98204
78,19,35,44.94044
77,19,36,44.99709
77,19,37,45.93954
77,19,37,45.99849
77,20,38,46.92558
77,20,38,46.98405
76,20,38,47.9416
76,20,38,47.9823
74,20,39,48.93042
74,20,39,49.0016
73,19,41,49.92776
73,19,41,49.9879
71,18,41,50.9416
70,18,42,51.0016
68,17,45,51.9416
68,17,45,51.98256
65,18,46,52.92456
64,18,47,52.98621
65,17,47,53.9416
64,17,48,54.0016
58,19,53,54.92879
58,19,53,54.98582
60,19,53,55.9416
60,19,53,56.0016
58,19,55,56.9416
58,19,55,57.0016
57,20,56,57.9416
57,19,56,58.0016
56,19,58,58.9416
56,19,58,58.99918
55,19,59,59.92664
55,19,59,59.98625
57,18,59,60.9416
57,18,59,60.98375
54,18,60,61.94003
54,18,60,61.99788
51,18,61,62.9389
50,17,62,63.0016
50,17,62,63.92868
50,17,62,63.98425
49,17,62,64.93933
49,17,62,64.9966
46,17,63,65.93416
46,17,63,65.98682
45,17,63,66.92416
45,17,63,66.98189
42,17,65,67.9416
42,17,65,68.0016
40,17,66,68.9416
40,17,66,68.99731
39,17,66,69.9276
39,17,66,69.98164
37,17,67,70.9416
37,17,67,70.99933
35,17,67,71.93347
34,17,67,71.98447
32,16,68,72.93657
32,16,68,72.99223
29,16,69,73.92584
29,16,69,74.0016
29,16,69,74.92302
28,16,70,74.99591
28,14,70,75.92769
28,14,70,75.99666
27,14,71,76.92886
27,14,71,76.99611
27,14,71,77.94093
27,14,71,77.98712
24,14,72,78.94087
24,14,72,78.99326
21,13,73,79.94138
21,13,73,79.98692
19,13,73,80.94081
19,13,73,80.98323
16,13,73,81.93672
16,13,73,81.99829
16,11,73,82.93442
16,11,73,82.9964
15,11,73,83.93913
15,11,73,83.99927
14,10,73,84.93097
14,10,73,84.99016
13,10,73,85.92667
12,10,74,85.98511
10,9,75,86.92738
10,9,75,86.99565
9,9,76,87.93738
9,9,76,87.99785
9,8,76,88.93314
9,8,76,88.995
8,7,76,89.93286
8,7,76,89.99164
8,7,76,90.92198
8,7,76,91.0016
8,7,76,91.93207
8,7,76,91.98656
8,7,76,92.93428
8,7,76,92.99347
7,7,77,93.92332
7,7,77,93.99486
7,7,77,94.93427
7,7,77,94.98701
5,7,77,95.93504
5,7,77,95.99574
5,7,77,96.92941
5,7,77,96.98328
4,5,77,97.93408
4,5,77,97.98798
4,5,77,98.93448
4,5,77,98.98386
4,5,77,99.9285
4,5,77,99.98605
4,5,77,100.9321
4,5,77,100.9845
4,5,77,101.9228
4,5,77,101.9861
4,5,77,102.9333
4,5,77,102.9869
3,5,77,103.933
3,5,77,103.9853
3,5,77,104.9331
3,5,77,104.9847
3,5,77,105.9415
3,5,77,105.9985
3,5,77,106.9261
3,5,77,106.9952
3,5,77,107.9354
3,5,77,107.987
3,5,77,108.9275
3,5,77,108.9824
3,5,77,109.9303
3,5,77,109.9837
3,5,77,110.9358
3,5,77,110.9888
3,4,77,111.9329
3,4,77,111.9956
3,3,77,112.923
3,3,77,112.9901
3,3,77,113.9303
3,3,77,113.9919
3,3,77,114.9275
3,3,77,114.9886
3,3,77,115.9246
3,3,77,115.9885
3,3,77,116.9307
3,3,77,116.994
3,3,77,117.9297
3,3,77,117.9902
3,3,77,118.923
3,3,77,118.9839
2,3,77,119.9226
