Susceptible,Infected,Exposed,Time
0,0,0,0
0,2,0,0.1554413
0,5,0,1.000656
0,6,0,1.159836
0,8,0,1.997162
0,8,0,2.160461
3,9,0,2.994293
3,9,0,3.15036
3,11,0,3.990677
3,11,0,4.155151
3,13,0,4.994125
3,13,0,5.15213
3,16,0,5.992477
4,16,0,6.15065
4,20,0,6.999649
5,20,0,7.15181
9,20,0,7.998611
11,20,0,8.160828
12,20,0,8.995178
13,20,0,9.159042
16,20,0,10.00108
18,20,0,10.15039
22,20,0,10.99037
22,20,0,11.16052
24,20,0,11.993
25,20,0,12.15562
27,20,1,12.99144
28,20,1,13.16652
30,20,1,13.99995
31,20,1,14.15456
34,20,1,15.0042
33,20,2,15.15994
36,20,2,15.99879
36,20,2,16.15193
37,20,3,16.9908
39,20,3,17.15195
41,20,3,17.99673
41,20,3,18.15054
44,20,3,18.99821
44,20,3,19.15514
47,20,3,20.00069
47,20,3,20.15755
50,20,4,20.99538
50,20,4,21.1577
51,20,5,21.99709
51,20,5,22.15584
53,20,6,23.00124
52,20,7,23.16237
54,20,7,23.99297
55,20,7,24.16255
57,20,7,24.9915
59,20,7,25.15312
61,20,8,25.99709
61,20,8,26.16216
64,20,8,27.00395
63,20,9,27.15816
65,20,10,28.00224
65,20,10,28.15889
65,20,11,28.99651
65,20,11,29.15202
68,20,12,30.00758
68,20,12,30.15163
71,20,12,30.99397
71,20,12,31.15437
73,20,12,32.00267
73,20,12,32.1624
75,20,12,33.00359
76,20,12,33.15331
79,20,13,34.00444
79,20,13,34.15257
82,19,13,34.99333
82,20,13,35.16405
82,20,14,36.0042
83,20,14,36.15681
84,20,15,37.00401
84,20,15,37.15291
86,20,16,37.99657
87,20,16,38.15315
88,20,16,38.9984
89,20,16,39.15468
93,20,17,40.01018
92,20,18,40.15211
95,20,18,40.99763
95,20,18,41.15065
98,20,18,42.01018
100,20,18,42.16997
102,20,18,42.99797
103,20,18,43.17018
101,20,23,44.01018
101,20,23,44.17018
102,20,25,45.0096
102,20,25,45.17018
104,20,26,46.01018
104,20,26,46.16911
106,20,27,47.01018
107,20,27,47.16515
111,20,27,48.01018
111,20,27,48.16789
114,20,27,49.00285
114,20,27,49.17018
114,20,29,50.00539
115,20,29,50.15865
118,20,30,51.01018
118,20,30,51.1562
119,20,32,52.00273
118,20,33,52.15392
121,20,34,53.00136
121,20,34,53.15221
124,20,34,54.01018
125,20,34,54.1638
127,20,35,55.00832
127,20,35,55.16383
127,20,37,56.00191
127,19,37,56.16164
128,20,37,57.00023
128,20,37,57.16695
131,19,38,58.0009
131,19,38,58.16261
132,20,38,58.99788
133,20,38,59.15953
134,20,39,60.01018
134,20,39,60.15474
135,20,40,61.01018
135,20,40,61.15083
139,20,41,62.00212
138,20,42,62.16161
140,20,42,63.00484
141,20,42,63.17018
142,20,43,64.00267
142,20,43,64.1692
143,20,45,65.00584
143,20,45,65.15959
146,20,45,66.00505
147,20,45,66.15038
147,20,47,67.01018
148,20,47,67.17018
150,20,47,68.00499
150,20,47,68.15178
152,20,49,69.01018
152,20,49,69.16374
153,20,50,70.00511
154,20,50,70.1541
154,20,52,70.9998
155,20,52,71.17018
157,20,53,72.01018
158,20,53,72.17018
158,19,55,73.01018
159,20,55,73.16136
162,20,55,74.01018
163,20,55,74.15065
163,20,56,74.99171
163,20,57,75.16194
161,20,59,76.01018
160,20,60,76.16676
159,20,62,77.00111
159,20,62,77.16084
161,20,62,77.99263
161,20,62,78.15337
161,20,62,78.99834
161,20,62,79.16014
159,20,65,79.99458
159,20,65,80.15166
158,20,67,81.00609
158,20,67,81.16539
156,20,69,82.00438
156,20,69,82.16054
154,20,70,83.00026
153,20,70,83.16661
154,20,70,84.01018
154,20,70,84.16786
155,20,70,84.99098
155,20,70,85.15019
156,20,70,86.01018
157,20,70,86.17018
158,20,70,87.01018
158,20,70,87.1523
157,20,72,88.00496
156,20,72,88.1656
155,20,72,89.00423
155,20,72,89.15843
153,20,75,90.01018
152,20,76,90.16496
151,20,78,91.0071
150,20,79,91.16347
149,20,80,92.00041
149,20,80,92.15202
150,20,80,92.99297
150,19,80,93.15349
149,20,81,93.99541
149,20,81,94.15132
149,20,81,94.99211
150,20,81,95.16475
151,20,81,95.99342
151,20,81,96.15514
149,20,82,97.00175
149,20,82,97.15907
148,20,84,98.01018
148,20,84,98.16795
145,20,88,98.99489
145,20,88,99.16103
146,20,88,100.007
145,20,89,100.1684
143,20,92,101.007
142,20,93,101.1632
140,19,93,101.9918
140,19,93,102.1526
141,20,93,103.0075
141,20,93,103.1658
140,20,93,103.9936
139,20,94,104.1702
139,20,94,105.0102
139,20,94,105.155
139,20,94,105.9907
136,20,94,106.1541
137,20,95,107.0069
137,20,95,107.1611
138,20,95,108.0084
138,20,95,108.1655
138,20,96,108.9952
139,20,96,109.1636
137,20,98,110.0102
137,19,98,110.1541
137,19,98,111.0045
137,19,98,111.1639
137,19,98,111.9935
137,19,98,112.1511
136,19,99,112.9924
136,19,99,113.1646
135,19,100,113.993
135,19,100,114.1598
133,19,100,114.9917
132,19,101,115.1702
129,19,102,116.0102
129,19,102,116.1677
126,19,105,116.9928
126,19,105,117.1702
123,19,108,117.9903
123,19,108,118.1676
123,19,108,119.0061
123,19,108,119.1702
123,19,108,120.0015
123,19,108,120.1638
122,19,108,121.0102
121,19,108,121.1702
121,19,108,122.0066
121,19,108,122.1702
121,19,108,123.0102
121,19,108,123.1702
121,19,108,124.0102
121,19,108,124.1702
120,19,108,125.0073
120,19,108,125.1702
118,19,109,126.0102
117,19,110,126.1509
116,19,110,127.0102
116,19,110,127.1688
114,19,112,128.0102
114,19,112,128.1651
112,19,112,129.0102
112,19,112,129.1702
109,19,113,130.0102
109,19,113,130.1563
105,19,115,131.0102
105,19,115,131.1702
105,19,115,132.0102
105,19,115,132.1702
105,19,115,133.0102
