Susceptible,Infected,Exposed,Time
0,0,0,0
3,2,0,0.9973969
9,2,0,1.998793
14,4,0,3.003728
19,5,0,3.99862
23,5,0,4.992326
31,7,0,5.998633
34,7,0,6.997022
43,7,0,8.000293
49,7,0,9.003211
56,7,0,9.996942
59,7,0,11.00475
63,7,0,12.00913
71,8,0,13.00913
74,9,0,14.00913
78,9,1,15.00913
84,9,1,15.99137
90,9,1,17.00913
93,10,1,18.00913
101,12,1,19.00913
112,13,1,19.99341
116,14,1,20.99715
121,15,1,21.9992
125,16,2,23.00913
131,16,3,24.00478
136,16,3,25.00913
143,16,3,26.00913
149,17,3,27.00585
155,19,4,28.00913
162,20,4,29.00913
165,21,5,30.00913
167,21,5,30.99346
168,21,5,32.00467
168,22,6,33.00912
166,23,7,33.99667
166,23,8,35.00912
167,23,9,35.99817
168,23,9,37.00305
169,23,9,38.00268
169,23,10,39.00912
169,24,10,39.99944
168,24,12,41.00912
167,25,13,42.00065
167,25,14,42.99087
167,25,15,43.99471
166,26,16,44.99934
168,26,16,46.00185
169,27,16,47.00912
170,27,16,48.00912
172,27,16,48.99017
172,27,17,50.00912
174,27,17,51.00912
173,28,18,52.00912
170,27,22,53.00912
170,27,22,54.00912
169,27,24,54.99934
170,27,25,55.98988
169,27,26,56.99061
169,27,27,58.00912
168,27,29,59.00883
168,27,29,60.00912
165,28,33,61.00912
165,28,34,62.0022
165,28,35,63.00912
165,28,36,64.00857
167,28,36,65.00412
166,28,38,65.99088
168,28,38,66.99911
166,28,40,68.00854
165,28,41,69.00411
162,28,45,69.99808
161,29,47,70.99944
159,29,47,71.99321
160,29,48,73.00202
158,29,51,73.99941
157,29,53,75.00912
157,29,54,75.99823
157,29,54,77.00912
158,29,54,78.00912
157,27,54,79.00346
154,27,57,80.00912
154,27,58,80.99077
154,27,59,82.00912
154,27,60,82.99987
154,27,61,84.00912
153,28,61,85.00912
153,27,61,86.00912
153,28,61,87.00912
154,28,62,88.00912
152,28,63,88.99419
153,28,63,89.99403
153,29,63,91.00912
152,30,64,92.00912
150,29,65,93.00865
149,29,66,94.00459
148,29,68,94.99434
147,30,69,96.00912
146,30,70,97.00047
146,30,71,98.00912
146,30,73,99.00912
146,30,74,100.0065
146,29,74,100.9934
143,29,75,101.9903
141,29,77,103.0091
141,29,77,103.9977
142,28,78,105.0091
142,28,78,105.9964
141,29,78,107.0045
140,30,79,108.0091
141,31,79,108.9909
142,31,79,109.9991
142,31,79,111.0088
142,31,80,111.996
142,31,80,113.0091
140,31,80,114.0024
139,31,80,115.0091
137,31,80,116.0091
136,31,81,116.9896
132,30,83,118.0091
131,30,83,118.9986
131,30,83,120.0091
131,29,83,121.0091
130,29,84,122.0091
126,29,86,123.0091
124,29,87,124.0091
123,28,87,124.9919
122,28,87,126.0001
120,27,88,127.0091
118,27,88,128.0091
118,27,88,128.9908
118,27,88,130.0091
116,27,89,131.0091
116,27,89,132.0091
116,27,89,132.9902
115,27,90,134.0091
113,27,91,135.0091
112,27,92,135.9938
110,24,92,137.0091
110,24,92,138.0053
108,24,92,139.0026
106,24,93,140.0042
105,24,93,141.0091
103,24,94,141.9989
101,24,96,142.9986
100,24,96,144.0091
99,24,96,145.0091
98,24,96,146.0091
98,23,96,147.0091
97,23,97,148.0091
97,23,97,149.0091
97,23,97,150.0061
96,23,97,150.9951
96,22,97,152.0091
95,22,97,153.0091
91,22,99,154.0091
91,22,99,155.0062
91,22,99,156.0091
91,22,99,156.9914
90,22,99,158.0087
90,22,99,159.0091
90,20,99,160.0091
89,20,99,161.0091
89,20,99,161.9971
89,20,99,163.0091
89,20,99,164.0091
89,20,99,165.0091
89,19,99,166.0091
89,19,99,167.0091
89,19,99,168.0073
89,19,99,169.0091
88,19,99,169.9923
88,18,99,171.0091
87,18,100,171.9982
86,18,100,172.9997
86,18,100,174.0091
86,18,100,174.9993
86,18,100,175.9984
84,17,100,176.9946
83,16,100,178.0091
82,16,100,179.0091
82,16,100,180.0078
82,16,100,180.9969
78,16,102,181.9931
76,16,102,182.9895
73,16,103,184.0045
67,16,106,184.995
66,16,106,186.0091
64,16,106,187.0067
60,16,106,188.0091
59,14,107,189.0091
59,13,107,189.992
58,11,107,190.9936
56,10,107,192.0081
51,10,108,192.998
44,9,108,194.0051
39,9,109,194.9966
34,8,110,196.0091
27,6,111,197.0007
22,6,112,198.0019
21,4,113,198.9927
17,4,113,200.0078
12,3,113,201.0045
10,3,113,201.9908
6,3,113,202.9958
4,3,113,204.0061
2,3,113,204.9993
1,3,113,205.9936
1,3,113,207.0066
1,3,113,207.9945
1,1,113,209.0058
1,1,113,210.0034
1,1,113,211.0091
1,1,113,212.0003
1,1,113,213.0091
1,1,113,213.9942
1,1,113,214.992
1,1,113,215.992
0,1,113,217.0009
0,1,113,217.9956
0,1,113,218.9968
0,1,113,220.0046
0,1,113,221.0002
0,1,113,221.9899
0,1,113,223.0061
0,1,113,223.9899
0,1,113,224.9913
0,1,113,225.9975
0,1,113,227.0001
0,1,113,227.9969
0,1,113,229.0012
0,1,113,229.9978
0,1,113,230.9927
